Score,Review
3,The bag is 18” wide when laying flat; that is including the side gussets. So once you open the bag to use it it’s actually only 13” wide. This is much smaller than what I need so I will be returning these and will look for another bag.
3,The canvas from which this bag is made is very heavy rough and stiff even after being washed two times. It is not comfortable to use. The handles do not have quite a large enough opening for me to use over-the-shoulder. As long as the seams hold I predict it will last a long time but I will never really enjoy using it.
3,This tote accomodates my needs; a place to store craft items I don't often use. It's nothing special. It's quite floppy when I pick it up and I only filled it half-way. The handles on my tote already show signs of wear loose threads after just a few months and it generally stays sitting stationary in one place. This replaced an old LL Bean tote and there's no comparison. For one thing the Bean tote was thick waterproof canvas and this is much lighter material. I got my money's worth from the Bean tote it's 20 years old. I don't think this tote bag will last as long!
3,I thought I was going to like this bag but it's not for me. I wear a lot of dark clothes and everytime I used this bag the color of my clothing transfer to the bag.
3,There was no padding in the bottom.
3,In the product photos there's a girl who looks like she's holding a bag half her size. Little bit misrepresenting. Otherwise it's all right
3,The color is white. I use this bag to carry supplies to the local dog park. Numerous dogs sniff this bag daily. It is difficult to keep the white bag clean under these conditions. Otherwise it is an excellent bag.
3,The bag seem smaller than pictured. It feels cheaply made. Can't fit too many stuff.
4,Thought it would be a little bigger 
4,Using this bag for embroidery. Ran 1 item and the results were great. Thought this might have been a little studier and the $$ was a little high for the origin country. 
4,I wanted something that was big enough and strong enough to fit books a laptop etc. inside and could be decorated. This fit the bill and for the price you can’t beat it. I had even looked at stores like TJ Maxx and Ross to find a cheap bag like this for a good price but for all the time I spent looking I couldn’t find just a plain one. So save yourself the time and hassle and go straight for this one that will show up at your door in two days. 
4,I like the bag. I wished the handles were a tad bit longer; maybe about 2-4 inches longer. It does the job I needed it for. 
4,Wanted to try these bags for grocery shopping. I have 2 large heavy canvas bags but needed more and previous source no longer available. These are not as sturdy as I’d like but hope for years of use. They seem strong enough to handle the job. 
4,One person found this helpful
4,I bought this durable bag for a craft project with my preschoolers. Very nice and big and durable. 
4,I’ve ordered three different colors of the solid-colored bags and I’m happy with the quality. They did shrink a bit in the washer/dryer but that’s to be expected with the material. They are much smaller than the picture shows so pay attention to the measurements and then count on losing a few inches because of shrinkage. I knocked off a star because of the false advertising of the picture of the woman holding a bag. I still recommend the bag though. 
4,Good material made for a cute project for teachers last year. They still enjoy them. 
4,Smaller than what I expected but very nice material 
4,Cute 
4,This bag is designed as pictured and will serve as an easy bag for quick runs which is the purpose it was purchased for. It is spacious and well crafted and the canvas material is light but durable... it should last. If it the canvas material was heavier I would have given 5 stars. Good value for money! 
4,I am embroidery it to make personal but this is not very heavy. Sewed nicely. 
4,These bags are perfect for my intended use which is to advertise my son's business. We applied heat transfer vinyl using a heat press to display his logo. The bag has been used to carry clothing supplies. So far so good!!! 
4,I used this product to put my bridesmaids’ gifts in for them to use on the wedding day! They all loved them and it was big enough to keep everything they needed with them. 
4,Food cans 
4,One person found this helpful
4,Liked my bag 
4,Great as a bag but if you're wanting to iron on HTV nope....not the bag for it. This holds a lot of weight I put my laptop two notebooks a binder and nurse kit and it was super sturdy.
4,Really durable . Wish the straps were bigger but it’s a nice size for unisex . I’ll order again 
1,I liked the tote but I payed for and ordered a set of three came in a packi just got one in a pack 
1,This bag is faded looking and washes terribly. I put HTV vinyl on it and couldn’t get it to stick at all due to the weave on the canvas. I’ve made hundreds of canvas bags with HTV and never had this problem. 
1,I bought this bag because I needed specific dimensions to carry a specific item. The picture of the dimensions is totally misleading. You would assume that you could put something in it with a width of 18 inches and a depth of 3 1/2 inches easily. Not the case at all. The 18 inches in the picture is a flat dimension. The 4 1/2 inch dimension is the width of the colored panel at the bottom and does not translate into a 4 1/2 panel up the sides. Even though the bag does not meet my specific need it will suffice to keep in the car to go for groceries otherwise this thing would be returned now. 
1,I ordered 12 for $60 and only received one bag:( 
1,Attached is a photo of a cutout of the fabric on a textile scale. As you can see the cotton is coming in at 321gsm which is under 10oz. The product listing shows 12oz which is supposed to be 375gsm. I'm tired of the China factories lying about their products. 
1,Ripped out on me within a couple months 
1,Not canvas. 
1,I ordered the bag for black Friday shopping after seeing the picture of the girl with it. I should have paid more attention to the actual measurements. The pictures are false advertising! 
1,These totes are okay quality - nothing special. SUPER disappointed that the return window is 1 month. I was possibly going to use these as bridesmaid gifts and now I am unable to return. Very disappointed. 
1,"Actual dimensions 17x13x5 not 18.5x15x5. Poorly made. The colored bottom is a separate piece; it does not reinforce the bag's strength as would be the case in a sturdy bag. The carrying capacity (weight) depends completely on the strength of the stitching that holds the colored bottom to the canvas sides. The stitches are big and the fabric flimsy. Not ""super sturdy"". This is the quality of a cheap give-away bag that you might pick up at a convention. I am returning it. "
1,This bag is SO MUCH smaller than the pictures suggest! I bought this bag as a travel bag for my dog but there is no way it’s big enough to hold more than his food and MAYBE a bowl. It was even shipped in an inner packaging bag so my tote was dirty when it arrived. Incredibly disappointed. 
1,Too small and not durable
1,It didn’t even have a zipper or snap 
1,The devil is a lie! The bag they sent is small and rinky dink. Absolutely NOT the bag in the picture. The picture shows a larger capacity bag. This is a small to medium size regular shopping bag. Not worth the $8. This is maybe a $2 bag. The quality is decent but definitely too small for the price paid. Returning this and looking for something better. 
1,I ONLY RECEIVED 3 BAGS AND I ORDERED 12! 
1,Bag is smaller than described. Not the same one shown in the image provided by seller. 
1,Cheaply made! 
1,Way smaller than in the pictures. What a shame. 
1,Fell apart in the first wash. It looks nice but no longevity. 
1,Not strong enough fabric 
1,Received item and it was dirty. Had grease like spots on it. Very unhappy. 
1,canvas bag that is stained after washing. 
1,Much much smaller than the photos represent. Not useful for what I need. 
2,These bags used to have amazing quality but the last 7 cases i ordered haven't been the same. Every single tote in each case or 24 has had some kind of stain a run in the fabric and/or significant pilling. Very disappointed. 
2,I was looking for a bag that I could lift with one hand swing my elbow through and slide to my shoulder. The handles on this bag are just not long enough for that. It requires both hands be involved. I already had a bag of that ilk so this gets returned. 
2,It’s a nice bag BUT COULD BE MUCH THICKER! 
2,These are fine bags until you wash them. Then the red dye bleeds and the bag gets pink blotches all over that don’t come out. 
2,Good for reusable grocery only in my opinion. No body or sturdiness. Wanted to use for a cricut project but too flimsy. 
2,Not strong enough 
2,Typical canvas bag the photo of its size is VERY deceiving. It is durable and would be ok for crafts but not grocery or storage. 
2,i returned this item because it was a lot smaller than i anticipated it being. 
5,I use this bag for all my BSF paraphernalia. It’s thick and durable and serves my purposes perfectly. One time I even left a wipes container open and it leaked moisture through my entire BSf notebook but it did not penetrate the bag. I have not washed it so I cannot comment about that.
5,Honestly I wish I had found this at dollar tree instead of here for $8 or whatever I paid but honestly it’s exactly what i was looking for so who cares. I’ll make up the $7 difference not buying a coffee on my way to BSF this week. 
5,Listing is 100% correct When I got the bag out of the package I tried to break it and could not. Very durable would easily hold 33 pounds easily. I tested the bag out for durability and could not get it to fail. Five star rating 
5,These bags are super sturdy and hold a lot!
5,Bought these for hubby to transport his lunch bag thermos and other items to and from work. He thinks they're wonderful!
5,Love that they are a 3 pack and the price is unbeatable. Made of sturdy canvas with reinforced stitching.
5,A good size for groceries perfect size for library books good handles for shoulder or arm. Flat bottom no ripping with heavy items. Much better than reuseable grocery bags. 
5,Everything fits in it that I need to take 
5,I got this bag to try my first iron on cricut project and so far I love it. The material is a good thickness so I don't think it'll rip easily and the vinyl adhered with no issues. I'll definitely buy more in other colors. 
5,Perfect totes to personalize. I bought these to machine embroider an appliqué I designed. I was worried that these would be too thin and cheaply made but I was pleasantly surprised. The canvas fabric is of medium thickness with decent stitching. Sure comparing it with my old COSTCO canvas tote this one is lower in quality. But for the price I thought they were great as a personalized gift.
5,The tote fit into my 170x200mm hoop without a problem but it might be a tight fit for larger hoops designed for home machines. I used a tear away stabilizer cotton fabric for appliqué and a combination of polyester and rayon threads. There was no puckering and my home machine had no problems stitching. I was very pleased with the results. I especially love the vibrant red color which complimented my embroidery design. I ended up making 4 of these as a gift. I will definitely buy again for my next project. 
5,I keep ordering more of these. They work well with my iron-on designs (from my Cricut). I usually use these to make teacher gifts or auction items. Everybody loves them. They are large and not that thinner bag material. 
5,Bought these to personalize with heat transfer vinyl for a group. They looked amazing!! Very sturdy I still see several people using them for heavy items on a regular basis with no issues. They were true white with a nice clean black handle and bottom border. Definitely will use again. They would also handle being painted with fabric paint screen printing ect. 
5,The wide space allows items like bread loaves and egg cartons to lie flat. Also perfect to avoid spills from meat and seafood trays.
5,They are strong and easy to clean. These bags get compliments all the time from the cashiers and baggers at my grocery stores.
5,Great as a gift. 
5,Added an iron on I made with a cricut after purchase! Very pleased with the size and sturdiness of the bag! Would be great for grocery shopping or going to the beach! 
5,Easy to sublimate- sturdy strong and durable! Love these bags!! 
5,Great for shopping. I use mine when if I have to make a short trip. Carries everything I need. 
5,I'll use it for groceries. 
5,I found these bags to be of sturdy construction. The stitching was solid with no flaws. The material was heavy duty and has handled washing well. 
5,Great bag for heavy groceries and holds a lot. I will definitely order 3 more bags. 
5,I have been looking for a nice durable and cost effective bag to purchase. We are going to put our business logo on and gift to our patients. This is way better then we hoped for. It's sturdy roomy and perfect!!!! I'll take pictures and post after we get our logos on. =)
5,Nice large sturdy totes with strong straps. Quality product. 
5,I was not expecting too much since the bag was so inexpensive. But This bag was a better quality than I expected for the price.
5,I personalized them and gave away as gifts! Everyone loved them!!
5,Will definitely order again!!! 
5,Just the size I was looking for. 
5,Great value and looks!! 
5,Simple sturdy perfect size. I use it to carry a small coffee maker when I travel. (I must have my morning coffee.) It also holds the 2 mugs coffee pods and sugar etc. I wore out the predecessor so had to replace it. I searched for the perfect size and price. And bonus I could choose a color. 
5,These are great quality bags for a great price. I bought these to silkscreen and give to our friends family and clients for our Bloody Mary and Michelada mix Bloody Gerry. Everyone absolutely loves these bags! We are very happy with them and will continue purchasing. 
5,Now that New Jersey has banned plastic bags in food stores and supermarkets these canvas totes have become our go to favorite for bagging our stuff to take home.
5,Size - perfect
5,Function - excellent
5,Quality - excellent
5,Value - excellent 
5,Great Christmas gifts 
5,I used these bags as a thank gift for my parent helper. My kids put their painted hand prints in the bag and the bag took the paint really well. Heavy duty bag. Would buy again! 
5,I was skeptical about this purchase but upon its arrival I was in awe of its sturdiness and threading. The handles have the crisscross stitch to enhance the strength of them. The base expands out as advertised. I am able to add my iron-ons to it without failure. My sister and daughter love these bags! I ordered a black and beige and solid black (still awaiting the arrival of that one for a week now). They’re definitely worth the money! 
5,Perfect for my bridesmaid bags. Easy to apply heat transfer vinyl to and it holds a good amount. Very happy with this purchase. 
5,Love this tote bag. I use it every day for work. It's just the size and look I wanted and I can easily throw it in the wash. Very happy with this purchase. 
5,I wanted to find a nice reusable bag to keep all of my groceries in. I leave this one in the car and it is very useful! 
5,I got the grey color it appears and feels of quality. We've had it about 3 months now and it's held up wonderfully. I got the dark color since they sometimes fall to the floor/pulled across the classroom- but the grey is a nice darker shade looks new still. 
5,Very sturdy bag 
5,Perfect size to hold lots of gifts for our end of the year teacher present. Feels thick and very sturdy. Added plus is the heat transfer vinyl adhered to it just fine. 
5,i bought it to use as a grocery bag since bags are 25¢ in san francisco. it’s sturdy and large enough to fit a good amount of things and cute as well. i imagine it could also be a good bag for school (to fit a lapop and a couple notebooks). overall i recommend it’s a great bag for the price. flex on em at trader joe’s! 
5,So glad I finally bought these. Use for grocery shopping and they’re perfect. I keep a few in the car for random stops at the store. Can sling a full bag onto shoulder to free up hands. Very sturdy. They shrank after wash so hang dry. Might drag on ground for someone under 5’5” when carrying by handle. 
5,Great quality for the price! Easy to add heat transfer vinyl too. I wish it had a zipper closure but other than that these are amazing! The small canvas bag in photo does not come with this. This was the only photo I had. It was a gift for my mother in law for her devotional items. She loved it! I was skeptical because of the price but these are great quality. 
5,Such a. Great bag I got for a sublimation image and it worked amazing ???? 
5,I love these bags they are sturdy and just throw them in wash whenever you like. 
5,Trim looks good and bag is very durable. 
5,"I bought this to use as a ""reusable"" gift bag for a bunch of baby shower gifts including a pillow and stuffed animal which take up a lot of space! This is so worth the money compared to an extra large paper gift bag which will just be thrown away. Now mommy has a convenient tote too! I searched and searched and finally came upon this very large inexpensive tote! I'm thrilled! "
5,Very nice and sturdy bag 
5,I got these because plastic bags were driving me crazy around the house. The only things I would add is a zipper/flap top and some kind of hard bottom shell. I love these bags and use them often I have not washed them yet but I don't doubt they will last. Plus I adore the burnt orange color. I will be ordering more I would trust these walking down the street. 
5,Was hesitant to purchase this bag because I am gifting it but am very happy with the quality of it! 
1,This is the first time purchased. It is not expensive so I am not upset. You get what you pay for. Just thought it would make it for a little while it is canvas. Stitching didn't hold through the first wash on delicate. DO NOT WASH!!! I can hand stitch and still use. Just think about what you want it for.
1,Not worth the cost . Bags are very small not what I expected and the received gift was dissapointed.
1,Poor quality. Use as bag for my wheel chair.
1,Terrible quality it went bad after one use.
1,Did not like it at all
1,Out of 10 bags I kept 3. The rest were full of stains.
1,not strong at all surprisingly small thin fabric
1,You can see through the fabric
1,These are see through. I can see the tag and the other side through the front. Very cheap feeling bag
1,Just purchased as didn’t last at all the few we used already.
1,I dislike that they are as sturdy as the beige canvcan bags (65) I ordered an they were suppose to be the same bags just white in color.
1,These canvas bags are so thin you can almost see through them.
1,I tried my transfers on one and it bleed through to the other side.
1,Just a waste of money I don’t have.
1,The bags are stained and too small.
1,Wasn’t what I expected they had a little fray on each of them and they are small and very thin not made to last but they will work for a one time thing
1,I ordered a 12 pack to see how they would work for sublimation and company was nice and helpful explained I needed to purchase a bulk amount (500) and they said they would give discount code. Told them for 2 months how much I needed and when came time to order they gave me a code that would ONLY work for 6 more packs than I was ordering. So not only did they try to bully me into buying more I didn't need but when they came in several had marks on them were ripped and unusable. One pack smelled so bad of mold/mildew I had to close it immediately and also put it in a scented bag so didn't smell it. If I didn't have to finish a BIG job I would have returned all of them but did not have time to do that cause had to get job done by January. Will never buy again
1,Prewashed to do HTV for Halloween bags and pretty much trash… strings coming out of every seam. Waste of money would not recommend! Un-useable. Very thin fabric
1,Out of the 12 bags 6 were damaged. They were either ripped stained or written on with pen. They are NOT as wide as shown. The handles we’re hanging on by a thread…literally. All the seams were so loose. The bags were practically see through. Definitely don’t use for groceries as the bags can probably barley hold 1 pound. Handles are not sturdy at all. Great for HTV projects but wouldn’t recommend.
1,Way smaller than they appear in the pic. Yes they match the measurements in description found on the product page if you look hard enough however the pictures are extremely misleading they are very small and more rectangle than that appear
1,I had to return these because I bought them so use as bridesmaids beach totes and these are way too small they are the size of a textbook. The material is see-through canvas and the straps are cheaply made.
1,I bought these to make gifts for friends. I was very disappointed when I received them and they were so thin I could see through them easily and I worried they wouldn’t hold much without breaking. I’m sure I could have used them if I wasn’t planning on having the recipient use much in them but it’s for a book group and it certainly won’t hold more than 1 book so it won’t work for me. I returned them and got my money back.
1,I am extremely disappointed in these bags. Many were not sewn with frayed seams. The majority were dirty or stained. The smell when you applied iron-on was disgusting. The only reason I didn't return was because I needed them that day. I am embarrassed to have to use them at the corporate meeting. DO NOT BUY!
1,Got these for resale when I applied a Cricut image. The handle melted on the first one I did. Will not buy again.
1,These came in a sealed plastic bag - but when I opened the bag - the bags smelled like a nasty musty basement . There was no getting that smell out. I purchased them to give them as gifts wirh printed images on them- no way of getting that smell out- I returned them.
1,Total disappointment. This is not “thick and sturdy” as it claims in the description. The material is so thin you can see through it. The item came folded and the handles are all wrinkled. The handles ade shiny and flimsy.
1,Not very good quality. Bought to do a craft. The thread was coming out of the bags some of the bags in the middle had brown stains on them and what I received was not as pictured or anything like the reviews I read. Definately would not purchase again. Very disappointing.
1,Bag is much smaller than the photos. Extremely smaller. A medium size magazine is all that can fit in it. Fabric is so thin its almost see through. straps are very very short.
1,I loved the size and simplicity of the bags. However I bought a pack of 12 bags that were suppose to be new and they were not. Some of the bags were used and had food stains on them I was only able to use 6 of the 12 bags. What a disappointment.
1,These were a disappointment. Very thin and the handles were very flimsy. They were also small. I was using them for gifts for piano recital so will have to make do I will need bigger bags for some
1,These bags were WAY smaller than expected. In the advertisement the picture of the bag was very large when they arrived they were only big enough to fit a couple sheets of paper. The material is also not sturdy and poorly made. I wont be buying this item again.
1,Poor stitching. Buy if you aren't thinking of putting anything in it. Awful as a bag.
1,4 of the bags had holes on the side seams out of the bag. I'm certain the others would have ripped the first time they were used. Not worth it even though they were a good price as they will all end up useless quickly.
1,Very disappointed in this product. The bags are WAY smaller than shown in the photos. Very deceptive images to entice people to purchase. I cannot use these for my original intent.
1,What came is not what is pictured. the strap is not sturdy canvas (as in the picture) and the bottom is not sewn properly and it's way smaller than the photo. Very sad waste of money. False advertising.
1,"Thought these would ""hang"" right but seems designed for children  not adults. They are too small."
1,I like the size of these but there is a large water stain visible through the clear packaging....I'm really nervous to see how many are going to have this because I must have enough for Friday for swag bags!
1,There was so much loose thread. Looks nothing like the picture the lady is holding. A couple of them have rips in the middle. I really need all 12 so this is very dissapointing.
1,I purchased these blank canvas totes for my Girl Scout Troop to decorate. 4 of the 12 bags were written on and Not Usable. Very frustrating! These bags can not be returned either. Bad product would not recommend!
1,Muy pequeñas para lo que demuestran en la foto. Mala calidad del material no me sirven para las compras.
1,I bought them to make my bridesmaids bags and they were so crappy and falling apart I did not end up using.
1,Nice just too thin for the painting/gifting we do with them.
1,Needed more durability
1,The product was smaller than listed in the description and the fabric is so thin you can see through it. They look very low quality and I returned the item.
1,You get what you pay for. Very cheaply made so much so that a few them had holes in the bottom from where the stitching let loose. Invest in something better
1,Look to cheap for the adults I was going to give them to
1,The bags were much smaller than the pictures represented. They are definitely not for adults. Also there was a lot of hanging thread. Returning them!
1,Poor quality.
1,These bags were not canvas but cheap very 4th in oseberg like fabric. Not at all what I thought the would be.
1,So disappointed. Very bad quality. Has so many loose thread and few has stains or some had writing with marker inside.
1,Size is very small
1,These are really small
1,These items shrink several inches in length and width when washed. They are poorly made have tons of loose strings.
1,The quality of these bags is less than horrible. Within a day the handles were detaching.
1,Bags were smaller than I expected and the stitching on them was awful and fell apart.
1,Received stained bags that were poorly sewn. Overall quality was very poor. Would not order again.
1,Too small and cheap fabric..
1,Cheap material. The straps are not canvas material
1,Very cheap looking. Ended up returning
1,These bags are not very good quality. Thin material.
1,Was not the size advertised! Will not order again.
1,These are very cheaply made. Returning them
1,So thin and not hemmed. Won’t not buy again
1,way smaller then i thought! had to return
1,Very small not what i had pictured when ordered.
1,Really poor quality.
1,Extremely thin
1,NOT GOOD QUALITY
1,Poorly sewed together.
1,First bag I pulled out strap was bad
1,Not good
1,Had to return they definitely are much smalle then they say.
1,Sorry had to give low score. It was too thin.
1,I don't think everyone is getting the same thing when these are ordered. I ordered 3 sets for a project and decided not to use them because they were such cheap fabric and smaller than advertised. Mine are white with white straps - not canvas. I decided to use them as book bags in my classrooms for the students to store the books they are reading and their writing notebooks (3rd grade.) We have been using them for 2 weeks and two of them have already torn beyond repair. They are used 5 days a week (8 days total at this point) for about 30 minutes a day to carry a very light load. The stitching along the sides has completely torn like perforated paper. I doubt these will last a full month.
1,They are not canvas and they are MINI bags they are not the ones in the photo do not buy them
1,The bags are a much smaller size than you see in the photograph.
2,Very beautiful but not very durable.
2,This style bag was requested by my child’s preschool. The canvas in these is on the thinner side (compared to those at Michael’s) and after two uses - carrying a folder with just a feel sheets of paper and a little snack bag) the bottom seam was opened there is a three inch hole in the bottom of the bag. Not the quality I expected.
2,We thought these were going to be great unfortunately after a couple uses the bag shredded at the seam and everything fell out. Not as sturdy as we had hoped for.
2,both lasted for about 2-3 weeks before they ripped ?????? was very not poggers:((
2,Not what I needed
2,There’s a stock pic above showing these bags FULL of fruits? Yeaaaa if you used one of these bags for that it would rip pretty fast. If you plan on using these bags for light stuff to transport then why’re ok. Not worth the money tho I’m general!
2,Low quality I can’t use it to paint.
2,Had to put a stiffer bag inside of these when used. Extremely thin. Bought to put my logo on. I would never even consider washing them they’re so thin.
2,They are not sturdy cheap made
2,I machine washed them and they are pretty bad now with wrinkles and shrinking. To be fair the tag does give explicit warnings not to machine wash. Still rather disappointing.
2,I was under the impression that each bag came with an iron on sheet
2,These are very cheaply made and half of the box had some sort of water damage so they are basically trash.
2,The bag is flimsy and will fade when washed
2,Tried to use for sublimation.. they looked burnt even at lower temps
2,Material is very thin and lightweight. Woven shoulder straps are short. Okay for kid party favors not for groceries gym or books.
2,Was sewn together poorly. Very flimsy. Won’t buy again
2,I ordered 2 packages. One was fine the other was moldy.I will be returning the moldy one.
2,I don’t usually give bad reviews even if the product isn’t great I try to be understanding and polite. This is not one of those reviews. I needed these bags to fill orders and they are nothing like the product description. They are cheap and thin and nothing like the description thick and sturdy. Thankfully I have a steamer to get the wrinkles out of the mangled looking handles. You can see my hand through the bag in the second picture. Will not be purchasing these again!
2,Cheap material for canvas. So lightweight that it will wear out fast!
2,These were ordered for a bachelorette weekend trip as a welcome gift for all. They arrived later than expected and didn’t make the welcome gift unfortunately.
2,These bags a very small. Way smaller than shown on the picture. Not much fits in them.
2,Unfortunately the handles are coming off the bag. Great price but recommend reinforcing the handles
2,Not as thick as expected but it does the job as a bag.
2,The quality of the bag is not the best made. Really thin material...that when I glue gunned items onto the bag both sides of the bag stuck together. When I drew on the bag with a sharpie the ink went through. The bags came very wrinkled..had to really iron them. One even had a stain on it...would not buy again.
2,I bought these for my bridesmaids. I wanted to paint doily patterns etc. I was half way through my project and I saw a few had dirt on them but I was worried until the lady one had the #129 written on it. I know I should have checked all the bags first but I was in a hurry. I’m really disappointed because at first glance they seemed really cute.
2,I purchased these to decorate as teacher gifts. I planned to decorate them the day they arrived and send them to school the next day. Well they stink... literally. I already threw them in the wash once and they still smell like someone’s musty old attic. On to plan B for a gift bc there is no way I’m gifting something that smells this bad.
2,Way too small for book bags in the classroom.
2,Tiny I could only assume these were designed for children certainly not practical as a gift or for shopping for an adult. Cheaply made strap especially was cheap. Now don't get me wrong the price is cheap so if you wanted a fun tie die project for your kids then these would be perfect. Just did not fit my needs and was returned for a full refund.
2,If you want these as party favors bag then they will work other than that they aren’t useful for anything. A great price but they are super small and the handles are poorly sewn on. Do not recommend
2,They aren't the size I thought they were going to be based on the photos. These bags are small you are not able to put it on your shoulder as advertised. You can only hold them in your hand. They are not wide at all and are also somewhat thin. Unfortunately will have to return.
2,Was a little disappointed when I opened the package to find the first bag was defective. There is a hole down the side of the bag and the material is fraying. The other bags are intact but the quality is not the best. Material is thin and handles are not centered on all the bags.
2,The bags are perfect for a birthday party craft I am extremely disappointed that 3 of them have issues. 2 bags have poor quality threading and one has a yellow stain.
2,I wanted to like these. However they arrived and were quite small (smaller than the measurements). They feel very cheaply made one was actually broken on arrival and one was missing. I bought them because the price seemed great but you definitely sacrifice quality.
2,Some of them where stained
2,Very disappointed in these totes. They are listed as polyester canvas totes but every one I pressed the images were very dull and blurry. Not to mention the size of the bag. EXTREMELY SMALL!!
2,Used these for my students' math bags and they ripped by November. They only held a white board and dry erase marker. The handles fell apart and some ripped.
2,Way too small even if the meture is listed the picture is not accurate and give you the idea that is bigger they should not show this picture.
2,Way smaller than expected
2,Some of my tote bags had stains on them.
2,The quality was not that great so I had to return them.
2,They smelled strongly like mildew!
2,Cheap thin quality but good for a child’s craft product
2,Much smaller than the photos let on.
2,Unprofessional cheap quality
2,Liked the price but the bags were thin and small.
2,Quality was real poor. Thread sticking out everywhere.
2,They were small and not of good quality
2,These are smaller than I thought. It does mention I see now the measurements so it is my fault for not checking but I assumed they were typical canvas grocery bags. They are fine if you need small bags.
2,The fabric leaves much to be desired the size is not practical for me I thought it was bigger it barely fits my arm to be able to carry it as a normal bag
3,I started using these regularly and they were good at first but now it’s balling. I’ve been using it normally and it’s still doing it
3,the bags were much wider than they appeared in the picture which was disappointing because i specifically wanted narrower bags and i looked forever to find some. i came across these and liked the narrow width so i bought them but when they came they were extremely wide.
3,So the material was nice enough for a tote bag but a couple days after receiving it I decided to wash it and the seams BUSTED open to make it unusable! I guess you could wash on a gentle cycle hand wash or just don't wash it and you're fine.
3,One of my bags got a tear in the seem after single use. Not durable
3,This is a good product just wish it was sturdier/durable. The handles are already tearing at the seams.
3,Thin for their size but they're holding up OK for now. I think I'd want something a little thicker and better made next time around. There are definitely worse canvas bags out there don't get me wrong they're no where near the worst bags but don't expect them to last years.
3,The one bag is fine but other had poor stitching on the seam and fell apart instantly. Not worth the hassle to send back since the second bag is fine and the price was cheap but you get what you pay for sometimes
3,these bags both get stained very easily
3,Super thin- not what was expected.
3,It’s a couple of bags- no decorations but I wanted them simple
3,These are handy sturdy bags. I bought many in both colors. They are strong have held up very well. I use them daily for all sorts of things.
3,I came back today to get more only to find a big jump in price.
3,Two stars off for the egregious price hike.
3,On 5/1/21 I paid $8.99 for the tan and the black versions of these bags. Now 2/21/22 the cost is $12.99 for each color. From the same seller CVNDKN.
3,That is roughly a 45% increase in less than a year.
3,They are available from other sellers here at better prices. Also as usual similar bags of a wide variety are available too. I went a different direction in my order after seeing the price change.
3,Thinner than expected. Don't know how much weight it could carry.
3,We did not have time to wash the bags to remove the scent but the bags were useful to our Team.
